1	1:55.500000 2:69.500000
1	1:41.000000 2:81.500000
1	1:53.500000 2:86.000000
1	1:46.000000 2:84.000000
1	1:41.000000 2:73.500000
1	1:51.500000 2:69.000000
1	1:51.000000 2:62.500000
1	1:42.000000 2:75.000000
1	1:53.500000 2:83.000000
1	1:57.500000 2:71.000000
1	1:42.500000 2:72.500000
1	1:41.000000 2:80.000000
1	1:46.000000 2:82.000000
1	1:46.000000 2:60.500000
1	1:49.500000 2:76.000000
1	1:41.000000 2:76.000000
1	1:48.500000 2:72.500000
1	1:51.500000 2:82.500000
1	1:44.500000 2:70.500000
1	1:44.000000 2:66.000000
1	1:33.000000 2:76.500000
1	1:33.500000 2:78.500000
1	1:31.500000 2:72.000000
1	1:33.000000 2:81.500000
1	1:42.000000 2:59.500000
1	1:30.000000 2:64.000000
1	1:61.000000 2:45.000000
1	1:49.000000 2:79.000000
1	1:26.500000 2:64.500000
1	1:34.000000 2:71.500000
1	1:42.000000 2:83.500000
1	1:29.500000 2:74.500000
1	1:39.500000 2:70.000000
1	1:51.500000 2:66.000000
1	1:41.500000 2:71.500000
1	1:42.500000 2:79.500000
1	1:35.000000 2:59.500000
1	1:38.500000 2:73.500000
1	1:32.000000 2:81.500000
1	1:46.000000 2:60.500000
0	1:36.500000 2:53.000000
0	1:36.500000 2:53.500000
0	1:24.000000 2:60.500000
0	1:19.000000 2:57.500000
0	1:34.500000 2:60.000000
0	1:37.500000 2:64.500000
0	1:35.500000 2:51.000000
0	1:37.000000 2:50.500000
0	1:21.500000 2:42.000000
0	1:35.500000 2:58.500000
0	1:26.500000 2:68.500000
0	1:26.500000 2:55.500000
0	1:18.500000 2:67.000000
0	1:40.000000 2:67.000000
0	1:32.500000 2:71.500000
0	1:39.000000 2:71.500000
0	1:43.000000 2:55.500000
0	1:22.000000 2:54.000000
0	1:36.000000 2:62.500000
0	1:31.000000 2:55.500000
0	1:38.500000 2:76.000000
0	1:40.000000 2:75.000000
0	1:37.500000 2:63.000000
0	1:24.500000 2:58.000000
0	1:30.000000 2:67.000000
0	1:33.000000 2:56.000000
0	1:56.500000 2:61.000000
0	1:41.000000 2:57.000000
0	1:49.500000 2:63.000000
0	1:34.500000 2:72.500000
0	1:32.500000 2:69.000000
0	1:36.000000 2:73.000000
0	1:27.000000 2:53.500000
0	1:41.000000 2:63.500000
0	1:29.500000 2:52.500000
0	1:20.000000 2:65.500000
0	1:38.000000 2:65.000000
0	1:18.500000 2:74.500000
0	1:16.000000 2:72.500000
0	1:33.500000 2:68.000000
